best_queue,best_throughput_mops,block_size,broker_elapsed_ms,broker_empty_dequeues,broker_num_runs,broker_oracle_ratio,broker_regret_mops,broker_successful_ops,broker_throughput_mops,num_available_queues,ops_per_thread,producer_ratio,sfq_elapsed_ms,sfq_empty_dequeues,sfq_num_runs,sfq_oracle_ratio,sfq_regret_mops,sfq_successful_ops,sfq_throughput_mops,test,threads
sfq,0.0,256,1.99121,262144.0,3,,0.0,0.0,0.0,2,256,0,20.7649,262144.0,3,,0.0,0.0,0.0,balanced,1024
broker,43.6687,256,3.5174,108544.0,3,1.0,0.0,153600.0,43.6687,2,256,25,238.7,159744.0,3,0.009823741031906147,43.23971,102400.0,0.42899,balanced,1024
broker,57.1004,256,4.59093,0.0,3,1.0,0.0,262144.0,57.1004,2,256,50,1006.06,43008.0,3,0.003814631771406155,56.882583000000004,219136.0,0.217817,balanced,1024
broker,73.2216,256,3.58015,0.0,3,1.0,0.0,262144.0,73.2216,2,256,75,1517.48,0.0,3,0.0023592628404733034,73.048851,262144.0,0.172749,balanced,1024
broker,100.099,256,2.61884,0.0,3,1.0,0.0,262144.0,100.099,2,256,100,2053.29,0.0,3,0.0012754373170561144,99.97133000000001,262144.0,0.12767,balanced,1024
sfq,0.0,256,2.37409,1048580.0,3,,0.0,0.0,0.0,2,1024,0,28.6071,1048580.0,3,,0.0,0.0,0.0,balanced,1024
broker,66.5467,256,8.28435,497280.0,3,1.0,0.0,551296.0,66.5467,2,1024,25,2317.88,742400.0,3,0.0019849669480229673,66.414607,306176.0,0.132093,balanced,1024
broker,82.2019,256,12.7561,0.0,3,1.0,0.0,1048580.0,82.2019,2,1024,50,4892.57,446464.0,3,0.0014971186797385462,82.078834,602112.0,0.123066,balanced,1024
broker,119.003,256,8.81134,0.0,3,1.0,0.0,1048580.0,119.003,2,1024,75,7405.23,190464.0,3,0.000973748560960648,118.887121,858112.0,0.115879,balanced,1024
broker,319.406,256,3.2829,0.0,3,1.0,0.0,1048580.0,319.406,2,1024,100,10111.6,0.0,3,0.00032466515970269814,319.3023,1048580.0,0.1037,balanced,1024
sfq,0.0,256,1.91721,262144.0,3,,0.0,0.0,0.0,2,64,0,23.6394,262144.0,3,,0.0,0.0,0.0,balanced,4096
broker,52.8473,256,3.37758,84096.0,3,1.0,0.0,178048.0,52.8473,2,64,25,180.899,94208.0,3,0.017566498193852857,51.918957999999996,167936.0,0.928342,balanced,4096
broker,80.3675,256,3.26182,0.0,3,1.0,0.0,262144.0,80.3675,2,64,50,567.528,0.0,3,0.005747410333779201,79.905595,262144.0,0.461905,balanced,4096
broker,101.95,256,2.57129,0.0,3,1.0,0.0,262144.0,101.95,2,64,75,787.856,0.0,3,0.003263668464933791,101.61726900000001,262144.0,0.332731,balanced,4096
broker,115.524,256,2.26917,0.0,3,1.0,0.0,262144.0,115.524,2,64,100,784.248,0.0,3,0.002893442055330494,115.189738,262144.0,0.334262,balanced,4096
sfq,0.0,256,2.02604,1048580.0,3,,0.0,0.0,0.0,2,256,0,30.8765,1048580.0,3,,0.0,0.0,0.0,balanced,4096
broker,67.4191,256,8.64799,462592.0,3,1.0,0.0,585984.0,67.4191,2,256,25,962.87,675840.0,3,0.005741844670130571,67.03199,372736.0,0.38711,balanced,4096
broker,92.3626,256,10.6447,88064.0,3,1.0,0.0,960512.0,92.3626,2,256,50,2141.8,368640.0,3,0.003437094668188206,92.045141,679936.0,0.317459,balanced,4096
broker,132.692,256,7.9023,0.0,3,1.0,0.0,1048580.0,132.692,2,256,75,3029.36,139264.0,3,0.0022621258252193046,132.39183400000002,909312.0,0.300166,balanced,4096
broker,465.066,256,2.25468,0.0,3,1.0,0.0,1048580.0,465.066,2,256,100,3800.2,0.0,3,0.0005933071865068613,464.79007299999995,1048580.0,0.275927,balanced,4096
sfq,0.0,256,2.39273,4194300.0,3,,0.0,0.0,0.0,2,1024,0,59.6708,4194300.0,3,,0.0,0.0,0.0,balanced,4096
broker,59.6074,256,37.1701,1985790.0,3,1.0,0.0,2208510.0,59.6074,2,1024,25,4179.99,3006460.0,3,0.004767411428782333,59.323226999999996,1187840.0,0.284173,balanced,4096
broker,99.9401,256,40.7931,113536.0,3,1.0,0.0,4080770.0,99.9401,2,1024,50,8143.12,1982460.0,3,0.0027178379849529866,99.668479,2211840.0,0.271621,balanced,4096
broker,115.641,256,36.27,0.0,3,1.0,0.0,4194300.0,115.641,2,1024,75,12136.7,958464.0,3,0.0023055490699665344,115.374384,3235840.0,0.266616,balanced,4096
broker,1440.55,256,2.91161,0.0,3,1.0,0.0,4194300.0,1440.55,2,1024,100,16086.0,0.0,3,0.00018100239491860749,1440.289257,4194300.0,0.260743,balanced,4096
sfq,0.0,256,2.00777,4096.0,3,,0.0,0.0,0.0,2,64,0,12.836,4096.0,3,,0.0,0.0,0.0,split_roles,64
