model,top1_accuracy,near_oracle_rate,avg_regret,speedup_vs_best_fixed
best_fixed,0.5264822134387351,0.6316205533596838,0.36464052240224426,0.7980237154150197
logistic_regression,0.7458498023715415,0.8509881422924901,0.1308002204356224,43.870436671503924
oracle,1.0,1.0,0.0,51.85250301838975
random,0.35138339920948614,0.3948616600790514,0.45326101263094093,15.196338264095308
random_forest,1.0,1.0,0.0,51.85250301838975
rule_of_thumb,0.3944664031620554,0.4996047430830039,0.36791099951105266,13.610096116142268
