avg_elapsed_ms,avg_empty_dequeues,avg_successful_ops,avg_throughput_mops,best_throughput_mops,binary,block_size,block_size_requested,command,ops_per_thread,ops_per_thread_requested,parse_error,parse_ok,producer_ratio,producer_ratio_requested,queue,queue_label_expected,repeat_id,repeats,reset_between_repeats,return_code,stderr,stdout,success,test,test_requested,threads,threads_requested,timed_out,wall_time_sec,worst_throughput_mops
0.534442,2048,2048,3.83203,3.83203,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 25 --test split_roles --block 256 --repeats 1,64,64,,True,25,25,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=0.534442 successful_ops=2048 empty_dequeues=2048 throughput_mops=3.83203
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":25,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":2048,""avg_empty_dequeues"":2048,""avg_elapsed_ms"":0.534442,""avg_throughput_mops"":3.83203,""best_throughput_mops"":3.83203,""worst_throughput_mops"":3.83203,""success"":true}
",True,split_roles,split_roles,64,64,False,0.3682520389556885,3.83203
0.615242,2048,2048,3.32877,3.32877,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 25 --test split_roles --block 256 --repeats 1,64,64,,True,25,25,wfq,wfq,2,1,True,0,"[run 0] elapsed_ms=0.615242 successful_ops=2048 empty_dequeues=2048 throughput_mops=3.32877
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":25,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":2048,""avg_empty_dequeues"":2048,""avg_elapsed_ms"":0.615242,""avg_throughput_mops"":3.32877,""best_throughput_mops"":3.32877,""worst_throughput_mops"":3.32877,""success"":true}
",True,split_roles,split_roles,64,64,False,0.3599557876586914,3.32877
0.35232,0,4096,11.6258,11.6258,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 50 --test balanced --block 256 --repeats 1,64,64,,True,50,50,wfq,wfq,0,1,True,0,"[run 0] elapsed_ms=0.35232 successful_ops=4096 empty_dequeues=0 throughput_mops=11.6258
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":50,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.35232,""avg_throughput_mops"":11.6258,""best_throughput_mops"":11.6258,""worst_throughput_mops"":11.6258,""success"":true}
",True,balanced,balanced,64,64,False,0.3749680519104004,11.6258
0.383164,0,4096,10.6899,10.6899,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 50 --test balanced --block 256 --repeats 1,64,64,,True,50,50,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=0.383164 successful_ops=4096 empty_dequeues=0 throughput_mops=10.6899
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":50,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.383164,""avg_throughput_mops"":10.6899,""best_throughput_mops"":10.6899,""worst_throughput_mops"":10.6899,""success"":true}
",True,balanced,balanced,64,64,False,0.3771486282348633,10.6899
0.337321,0,4096,12.1427,12.1427,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 50 --test balanced --block 256 --repeats 1,64,64,,True,50,50,wfq,wfq,2,1,True,0,"[run 0] elapsed_ms=0.337321 successful_ops=4096 empty_dequeues=0 throughput_mops=12.1427
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":50,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.337321,""avg_throughput_mops"":12.1427,""best_throughput_mops"":12.1427,""worst_throughput_mops"":12.1427,""success"":true}
",True,balanced,balanced,64,64,False,0.38150835037231445,12.1427
0.64876,0,4096,6.31358,6.31358,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 50 --test split_roles --block 256 --repeats 1,64,64,,True,50,50,wfq,wfq,0,1,True,0,"[run 0] elapsed_ms=0.64876 successful_ops=4096 empty_dequeues=0 throughput_mops=6.31358
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":50,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.64876,""avg_throughput_mops"":6.31358,""best_throughput_mops"":6.31358,""worst_throughput_mops"":6.31358,""success"":true}
",True,split_roles,split_roles,64,64,False,0.4243338108062744,6.31358
0.4832,0,4096,8.47682,8.47682,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 50 --test split_roles --block 256 --repeats 1,64,64,,True,50,50,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=0.4832 successful_ops=4096 empty_dequeues=0 throughput_mops=8.47682
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":50,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.4832,""avg_throughput_mops"":8.47682,""best_throughput_mops"":8.47682,""worst_throughput_mops"":8.47682,""success"":true}
",True,split_roles,split_roles,64,64,False,0.3679659366607666,8.47682
0.559649,0,4096,7.31887,7.31887,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 50 --test split_roles --block 256 --repeats 1,64,64,,True,50,50,wfq,wfq,2,1,True,0,"[run 0] elapsed_ms=0.559649 successful_ops=4096 empty_dequeues=0 throughput_mops=7.31887
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":50,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.559649,""avg_throughput_mops"":7.31887,""best_throughput_mops"":7.31887,""worst_throughput_mops"":7.31887,""success"":true}
",True,split_roles,split_roles,64,64,False,0.36988091468811035,7.31887
0.355561,0,4096,11.5198,11.5198,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 75 --test balanced --block 256 --repeats 1,64,64,,True,75,75,wfq,wfq,0,1,True,0,"[run 0] elapsed_ms=0.355561 successful_ops=4096 empty_dequeues=0 throughput_mops=11.5198
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":75,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.355561,""avg_throughput_mops"":11.5198,""best_throughput_mops"":11.5198,""worst_throughput_mops"":11.5198,""success"":true}
",True,balanced,balanced,64,64,False,0.3556854724884033,11.5198
0.498281,0,4096,8.22026,8.22026,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 75 --test balanced --block 256 --repeats 1,64,64,,True,75,75,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=0.498281 successful_ops=4096 empty_dequeues=0 throughput_mops=8.22026
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":75,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.498281,""avg_throughput_mops"":8.22026,""best_throughput_mops"":8.22026,""worst_throughput_mops"":8.22026,""success"":true}
",True,balanced,balanced,64,64,False,0.3839869499206543,8.22026
0.326401,0,4096,12.549,12.549,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 75 --test balanced --block 256 --repeats 1,64,64,,True,75,75,wfq,wfq,2,1,True,0,"[run 0] elapsed_ms=0.326401 successful_ops=4096 empty_dequeues=0 throughput_mops=12.549
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":75,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.326401,""avg_throughput_mops"":12.549,""best_throughput_mops"":12.549,""worst_throughput_mops"":12.549,""success"":true}
",True,balanced,balanced,64,64,False,0.376964807510376,12.549
0.56328,0,4096,7.27169,7.27169,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 75 --test split_roles --block 256 --repeats 1,64,64,,True,75,75,wfq,wfq,0,1,True,0,"[run 0] elapsed_ms=0.56328 successful_ops=4096 empty_dequeues=0 throughput_mops=7.27169
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":75,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.56328,""avg_throughput_mops"":7.27169,""best_throughput_mops"":7.27169,""worst_throughput_mops"":7.27169,""success"":true}
",True,split_roles,split_roles,64,64,False,0.36771607398986816,7.27169
0.48836,0,4096,8.38726,8.38726,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 75 --test split_roles --block 256 --repeats 1,64,64,,True,75,75,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=0.48836 successful_ops=4096 empty_dequeues=0 throughput_mops=8.38726
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":75,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.48836,""avg_throughput_mops"":8.38726,""best_throughput_mops"":8.38726,""worst_throughput_mops"":8.38726,""success"":true}
",True,split_roles,split_roles,64,64,False,0.3867530822753906,8.38726
0.570202,0,4096,7.18342,7.18342,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 75 --test split_roles --block 256 --repeats 1,64,64,,True,75,75,wfq,wfq,2,1,True,0,"[run 0] elapsed_ms=0.570202 successful_ops=4096 empty_dequeues=0 throughput_mops=7.18342
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":75,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.570202,""avg_throughput_mops"":7.18342,""best_throughput_mops"":7.18342,""worst_throughput_mops"":7.18342,""success"":true}
",True,split_roles,split_roles,64,64,False,0.37410616874694824,7.18342
0.365281,0,4096,11.2133,11.2133,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 100 --test balanced --block 256 --repeats 1,64,64,,True,100,100,wfq,wfq,0,1,True,0,"[run 0] elapsed_ms=0.365281 successful_ops=4096 empty_dequeues=0 throughput_mops=11.2133
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":100,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.365281,""avg_throughput_mops"":11.2133,""best_throughput_mops"":11.2133,""worst_throughput_mops"":11.2133,""success"":true}
",True,balanced,balanced,64,64,False,0.3564743995666504,11.2133
4.78558,0,4096,0.855905,0.855905,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 100 --test balanced --block 256 --repeats 1,64,64,,True,100,100,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=4.78558 successful_ops=4096 empty_dequeues=0 throughput_mops=0.855905
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":100,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":4.78558,""avg_throughput_mops"":0.855905,""best_throughput_mops"":0.855905,""worst_throughput_mops"":0.855905,""success"":true}
",True,balanced,balanced,64,64,False,0.3771998882293701,0.855905
0.331759,0,4096,12.3463,12.3463,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 100 --test balanced --block 256 --repeats 1,64,64,,True,100,100,wfq,wfq,2,1,True,0,"[run 0] elapsed_ms=0.331759 successful_ops=4096 empty_dequeues=0 throughput_mops=12.3463
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":100,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.331759,""avg_throughput_mops"":12.3463,""best_throughput_mops"":12.3463,""worst_throughput_mops"":12.3463,""success"":true}
",True,balanced,balanced,64,64,False,0.39182162284851074,12.3463
0.40628,0,4096,10.0817,10.0817,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 100 --test split_roles --block 256 --repeats 1,64,64,,True,100,100,wfq,wfq,0,1,True,0,"[run 0] elapsed_ms=0.40628 successful_ops=4096 empty_dequeues=0 throughput_mops=10.0817
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":100,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.40628,""avg_throughput_mops"":10.0817,""best_throughput_mops"":10.0817,""worst_throughput_mops"":10.0817,""success"":true}
",True,split_roles,split_roles,64,64,False,0.37170982360839844,10.0817
0.327121,0,4096,12.5214,12.5214,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 100 --test split_roles --block 256 --repeats 1,64,64,,True,100,100,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=0.327121 successful_ops=4096 empty_dequeues=0 throughput_mops=12.5214
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":100,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.327121,""avg_throughput_mops"":12.5214,""best_throughput_mops"":12.5214,""worst_throughput_mops"":12.5214,""success"":true}
",True,split_roles,split_roles,64,64,False,0.3599700927734375,12.5214
0.381353,0,4096,10.7407,10.7407,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 64 --producer-ratio 100 --test split_roles --block 256 --repeats 1,64,64,,True,100,100,wfq,wfq,2,1,True,0,"[run 0] elapsed_ms=0.381353 successful_ops=4096 empty_dequeues=0 throughput_mops=10.7407
","{""queue"":""wfq"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""producer_ratio"":100,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":4096,""avg_empty_dequeues"":0,""avg_elapsed_ms"":0.381353,""avg_throughput_mops"":10.7407,""best_throughput_mops"":10.7407,""worst_throughput_mops"":10.7407,""success"":true}
",True,split_roles,split_roles,64,64,False,0.3818817138671875,10.7407
1.68508,16384,0,0,0,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 256 --producer-ratio 0 --test balanced --block 256 --repeats 1,256,256,,True,0,0,wfq,wfq,0,1,True,0,"[run 0] elapsed_ms=1.68508 successful_ops=0 empty_dequeues=16384 throughput_mops=0
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":256,""producer_ratio"":0,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":0,""avg_empty_dequeues"":16384,""avg_elapsed_ms"":1.68508,""avg_throughput_mops"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,balanced,balanced,64,64,False,0.3886239528656006,0
1.62935,16384,0,0,0,./out/queue_bench_wfq,256,256,./out/queue_bench_wfq --threads 64 --ops 256 --producer-ratio 0 --test balanced --block 256 --repeats 1,256,256,,True,0,0,wfq,wfq,1,1,True,0,"[run 0] elapsed_ms=1.62935 successful_ops=0 empty_dequeues=16384 throughput_mops=0
","{""queue"":""wfq"",""test"":""balanced"",""threads"":64,""ops_per_thread"":256,""producer_ratio"":0,""block_size"":256,""repeats"":1,""reset_between_repeats"":true,""avg_successful_ops"":0,""avg_empty_dequeues"":16384,""avg_elapsed_ms"":1.62935,""avg_throughput_mops"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,balanced,balanced,64,64,False,0.4114525318145752,0
