avg_attempted_mops,avg_attempted_ops,avg_chunks_launched,avg_deq_empty,avg_deq_mops,avg_deq_success,avg_elapsed_ms,avg_empty_dequeues,avg_empty_mops,avg_enq_fail,avg_enq_mops,avg_enq_success,avg_fail_mops,avg_successful_ops,avg_throughput_mops,best_throughput_mops,binary,block_size,block_size_requested,chunk_ops,command,deq_empty_rate,enq_fail_rate,gpu_name,ops_per_thread,ops_per_thread_requested,parse_error,parse_ok,producer_ratio,producer_ratio_requested,queue,queue_label_expected,repeat_id,repeats,reset_between_repeats,return_code,run_ms,stderr,stdout,success,success_rate,test,test_requested,threads,threads_requested,timed_out,wall_time_sec,warmup_ms,worst_throughput_mops
30.9148,15458300.0,1887,0,15.4574,7729150.0,500.029,0,0,0,15.4574,7729150.0,0,15458300.0,30.9148,30.9148,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,0,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.029 chunks=1887 enq_success=7729152 enq_fail=0 deq_success=7729152 deq_empty=0 successful_ops=15458304 attempted_ops=15458304 succ_mops=30.9148 attempted_mops=30.9148
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1887,""avg_elapsed_ms"":500.029,""avg_successful_ops"":1.54583e+07,""avg_attempted_ops"":1.54583e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.72915e+06,""avg_enq_fail"":0,""avg_deq_success"":7.72915e+06,""avg_deq_empty"":0,""avg_throughput_mops"":30.9148,""avg_attempted_mops"":30.9148,""avg_enq_mops"":15.4574,""avg_deq_mops"":15.4574,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":30.9148,""worst_throughput_mops"":30.9148,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0072484016418457,100,30.9148
30.8915,15450100.0,1886,0,15.4458,7725060.0,500.141,0,0,0,15.4458,7725060.0,0,15450100.0,30.8915,30.8915,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,1,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.141 chunks=1886 enq_success=7725056 enq_fail=0 deq_success=7725056 deq_empty=0 successful_ops=15450112 attempted_ops=15450112 succ_mops=30.8915 attempted_mops=30.8915
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1886,""avg_elapsed_ms"":500.141,""avg_successful_ops"":1.54501e+07,""avg_attempted_ops"":1.54501e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.72506e+06,""avg_enq_fail"":0,""avg_deq_success"":7.72506e+06,""avg_deq_empty"":0,""avg_throughput_mops"":30.8915,""avg_attempted_mops"":30.8915,""avg_enq_mops"":15.4458,""avg_deq_mops"":15.4458,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":30.8915,""worst_throughput_mops"":30.8915,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0323443412780762,100,30.8915
30.7536,15384600.0,1878,0,15.3768,7692290.0,500.253,0,0,0,15.3768,7692290.0,0,15384600.0,30.7536,30.7536,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,2,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.253 chunks=1878 enq_success=7692288 enq_fail=0 deq_success=7692288 deq_empty=0 successful_ops=15384576 attempted_ops=15384576 succ_mops=30.7536 attempted_mops=30.7536
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1878,""avg_elapsed_ms"":500.253,""avg_successful_ops"":1.53846e+07,""avg_attempted_ops"":1.53846e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.69229e+06,""avg_enq_fail"":0,""avg_deq_success"":7.69229e+06,""avg_deq_empty"":0,""avg_throughput_mops"":30.7536,""avg_attempted_mops"":30.7536,""avg_enq_mops"":15.3768,""avg_deq_mops"":15.3768,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":30.7536,""worst_throughput_mops"":30.7536,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0556640625,100,30.7536
55.0437,27525100.0,6720,27525100.0,0,0,500.059,27525100.0,55.0437,0,0,0,0,0,0,0,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test split_roles --block 256 --repeats 1,1,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,0,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.059 chunks=6720 enq_success=0 enq_fail=0 deq_success=0 deq_empty=27525120 successful_ops=0 attempted_ops=27525120 succ_mops=0 attempted_mops=55.0437
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":6720,""avg_elapsed_ms"":500.059,""avg_successful_ops"":0,""avg_attempted_ops"":2.75251e+07,""avg_empty_dequeues"":2.75251e+07,""avg_enq_success"":0,""avg_enq_fail"":0,""avg_deq_success"":0,""avg_deq_empty"":2.75251e+07,""avg_throughput_mops"":0,""avg_attempted_mops"":55.0437,""avg_enq_mops"":0,""avg_deq_mops"":0,""avg_fail_mops"":0,""avg_empty_mops"":55.0437,""enq_fail_rate"":0,""deq_empty_rate"":1,""success_rate"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,0,split_roles,split_roles,64,64,False,1.0306494235992432,100,0
57.7875,28897300.0,7055,28897300.0,0,0,500.061,28897300.0,57.7875,0,0,0,0,0,0,0,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test split_roles --block 256 --repeats 1,1,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,1,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.061 chunks=7055 enq_success=0 enq_fail=0 deq_success=0 deq_empty=28897280 successful_ops=0 attempted_ops=28897280 succ_mops=0 attempted_mops=57.7875
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":7055,""avg_elapsed_ms"":500.061,""avg_successful_ops"":0,""avg_attempted_ops"":2.88973e+07,""avg_empty_dequeues"":2.88973e+07,""avg_enq_success"":0,""avg_enq_fail"":0,""avg_deq_success"":0,""avg_deq_empty"":2.88973e+07,""avg_throughput_mops"":0,""avg_attempted_mops"":57.7875,""avg_enq_mops"":0,""avg_deq_mops"":0,""avg_fail_mops"":0,""avg_empty_mops"":57.7875,""enq_fail_rate"":0,""deq_empty_rate"":1,""success_rate"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,0,split_roles,split_roles,64,64,False,1.04075288772583,100,0
54.8378,27422700.0,6695,27422700.0,0,0,500.07,27422700.0,54.8378,0,0,0,0,0,0,0,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 0 --test split_roles --block 256 --repeats 1,1,0,AMD Instinct MI210,64,64,,True,0,0,broker,broker,2,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.07 chunks=6695 enq_success=0 enq_fail=0 deq_success=0 deq_empty=27422720 successful_ops=0 attempted_ops=27422720 succ_mops=0 attempted_mops=54.8378
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""split_roles"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":0,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":6695,""avg_elapsed_ms"":500.07,""avg_successful_ops"":0,""avg_attempted_ops"":2.74227e+07,""avg_empty_dequeues"":2.74227e+07,""avg_enq_success"":0,""avg_enq_fail"":0,""avg_deq_success"":0,""avg_deq_empty"":2.74227e+07,""avg_throughput_mops"":0,""avg_attempted_mops"":54.8378,""avg_enq_mops"":0,""avg_deq_mops"":0,""avg_fail_mops"":0,""avg_empty_mops"":54.8378,""enq_fail_rate"":0,""deq_empty_rate"":1,""success_rate"":0,""best_throughput_mops"":0,""worst_throughput_mops"":0,""success"":true}
",True,0,split_roles,split_roles,64,64,False,1.0472333431243896,100,0
30.5906,15302700.0,1868,0,15.2953,7651330.0,500.241,0,0,0,15.2953,7651330.0,0,15302700.0,30.5906,30.5906,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,25,25,broker,broker,0,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.241 chunks=1868 enq_success=7651328 enq_fail=0 deq_success=7651328 deq_empty=0 successful_ops=15302656 attempted_ops=15302656 succ_mops=30.5906 attempted_mops=30.5906
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":25,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1868,""avg_elapsed_ms"":500.241,""avg_successful_ops"":1.53027e+07,""avg_attempted_ops"":1.53027e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.65133e+06,""avg_enq_fail"":0,""avg_deq_success"":7.65133e+06,""avg_deq_empty"":0,""avg_throughput_mops"":30.5906,""avg_attempted_mops"":30.5906,""avg_enq_mops"":15.2953,""avg_deq_mops"":15.2953,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":30.5906,""worst_throughput_mops"":30.5906,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0443413257598877,100,30.5906
30.8552,15433700.0,1884,0,15.4276,7716860.0,500.199,0,0,0,15.4276,7716860.0,0,15433700.0,30.8552,30.8552,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,25,25,broker,broker,1,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.199 chunks=1884 enq_success=7716864 enq_fail=0 deq_success=7716864 deq_empty=0 successful_ops=15433728 attempted_ops=15433728 succ_mops=30.8552 attempted_mops=30.8552
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":25,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1884,""avg_elapsed_ms"":500.199,""avg_successful_ops"":1.54337e+07,""avg_attempted_ops"":1.54337e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.71686e+06,""avg_enq_fail"":0,""avg_deq_success"":7.71686e+06,""avg_deq_empty"":0,""avg_throughput_mops"":30.8552,""avg_attempted_mops"":30.8552,""avg_enq_mops"":15.4276,""avg_deq_mops"":15.4276,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":30.8552,""worst_throughput_mops"":30.8552,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0364882946014404,100,30.8552
30.8058,15409200.0,1881,0,15.4029,7704580.0,500.202,0,0,0,15.4029,7704580.0,0,15409200.0,30.8058,30.8058,./out/queue_bench_bq,256,256,64,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test balanced --block 256 --repeats 1,0,0,AMD Instinct MI210,64,64,,True,25,25,broker,broker,2,1,True,0,500,"[run 0] gpu=""AMD Instinct MI210"" elapsed_ms=500.202 chunks=1881 enq_success=7704576 enq_fail=0 deq_success=7704576 deq_empty=0 successful_ops=15409152 attempted_ops=15409152 succ_mops=30.8058 attempted_mops=30.8058
","{""gpu_name"":""AMD Instinct MI210"",""queue"":""broker"",""test"":""balanced"",""threads"":64,""ops_per_thread"":64,""chunk_ops"":64,""producer_ratio"":25,""block_size"":256,""run_ms"":500,""warmup_ms"":100,""repeats"":1,""reset_between_repeats"":true,""avg_chunks_launched"":1881,""avg_elapsed_ms"":500.202,""avg_successful_ops"":1.54092e+07,""avg_attempted_ops"":1.54092e+07,""avg_empty_dequeues"":0,""avg_enq_success"":7.70458e+06,""avg_enq_fail"":0,""avg_deq_success"":7.70458e+06,""avg_deq_empty"":0,""avg_throughput_mops"":30.8058,""avg_attempted_mops"":30.8058,""avg_enq_mops"":15.4029,""avg_deq_mops"":15.4029,""avg_fail_mops"":0,""avg_empty_mops"":0,""enq_fail_rate"":0,""deq_empty_rate"":0,""success_rate"":1,""best_throughput_mops"":30.8058,""worst_throughput_mops"":30.8058,""success"":true}
",True,1,balanced,balanced,64,64,False,1.0476019382476807,100,30.8058
,,,,,,,,,,,,,,,,./out/queue_bench_bq,,256,,./out/queue_bench_bq --threads 64 --ops 64 --producer-ratio 25 --test split_roles --block 256 --repeats 1,,,,,64,Timed out after 120s,False,,25,,broker,0,,,,,,,False,,,split_roles,,64,True,120.13443565368652,,
