agg_method,block_size,elapsed_ms,empty_dequeues,num_runs_aggregated,ops_per_thread,producer_ratio,queue,successful_ops,test,threads,throughput_mops
median,256,3.53169,64.0,3,256,75,broker,65472.0,split_roles,256,18.5384
median,256,3.1839,0.0,3,256,100,broker,65536.0,split_roles,256,20.5836
median,256,2.18916,262144.0,3,1024,0,broker,0.0,split_roles,256,0.0
median,256,6.4594,152896.0,3,1024,25,broker,109248.0,split_roles,256,16.913
median,256,9.57427,128.0,3,1024,50,broker,262016.0,split_roles,256,27.3667
median,256,7.3047,64.0,3,1024,75,broker,262080.0,split_roles,256,35.8783
median,256,3.85016,0.0,3,1024,100,broker,262144.0,split_roles,256,68.0864
median,256,2.00816,65536.0,3,64,0,broker,0.0,split_roles,1024,0.0
median,256,2.31349,43968.0,3,64,25,broker,21568.0,split_roles,1024,12.6147
median,256,2.54072,0.0,3,64,50,broker,65536.0,split_roles,1024,25.6935
median,256,2.55053,0.0,3,64,75,broker,65536.0,split_roles,1024,25.695
median,256,2.56019,0.0,3,64,100,broker,65536.0,split_roles,1024,25.5981
median,256,1.9734,262144.0,3,256,0,broker,0.0,split_roles,1024,0.0
median,256,3.83187,171968.0,3,256,25,broker,90176.0,split_roles,1024,22.2471
median,256,4.41701,0.0,3,256,50,broker,262144.0,split_roles,1024,59.3487
median,256,4.04325,0.0,3,256,75,broker,262144.0,split_roles,1024,64.835
median,256,2.55334,0.0,3,256,100,broker,262144.0,split_roles,1024,102.667
median,256,2.22245,1048580.0,3,1024,0,broker,0.0,split_roles,1024,0.0
median,256,6.95796,701184.0,3,1024,25,broker,347392.0,split_roles,1024,49.7518
median,256,12.671,384.0,3,1024,50,broker,1048190.0,split_roles,1024,82.2165
median,256,10.1203,0.0,3,1024,75,broker,1048580.0,split_roles,1024,103.612
median,256,2.86854,0.0,3,1024,100,broker,1048580.0,split_roles,1024,365.544
median,256,1.66032,262144.0,3,64,0,broker,0.0,split_roles,4096,0.0
median,256,3.43158,131072.0,3,64,25,broker,131072.0,split_roles,4096,38.1959
median,256,4.4106,3456.0,3,64,50,broker,258688.0,split_roles,4096,58.6514
median,256,3.9191,64.0,3,64,75,broker,262080.0,split_roles,4096,66.8725
median,256,2.51067,0.0,3,64,100,broker,262144.0,split_roles,4096,104.412
median,256,2.04264,1048580.0,3,256,0,broker,0.0,split_roles,4096,0.0
median,256,8.89973,524288.0,3,256,25,broker,524288.0,split_roles,4096,58.9106
median,256,12.0586,8704.0,3,256,50,broker,1039870.0,split_roles,4096,86.8614
median,256,9.30757,512.0,3,256,75,broker,1048060.0,split_roles,4096,112.603
median,256,2.62213,0.0,3,256,100,broker,1048580.0,split_roles,4096,399.895
median,256,2.29389,4194300.0,3,1024,0,broker,0.0,split_roles,4096,0.0
median,256,30.8236,2097150.0,3,1024,25,broker,2097150.0,split_roles,4096,68.0372
median,256,42.4716,41408.0,3,1024,50,broker,4152900.0,split_roles,4096,97.7709
median,256,31.9556,512.0,3,1024,75,broker,4193790.0,split_roles,4096,131.23
median,256,2.94124,0.0,3,1024,100,broker,4194300.0,split_roles,4096,1426.03
median,256,11.8911,4096.0,3,64,0,sfq,0.0,balanced,64,0.0
median,256,11.6615,896.0,3,64,25,sfq,3200.0,balanced,64,0.274408
median,256,1.44592,0.0,3,64,50,sfq,4096.0,balanced,64,2.83279
median,256,1.44424,0.0,3,64,75,sfq,4096.0,balanced,64,2.83609
median,256,1.44536,0.0,3,64,100,sfq,4096.0,balanced,64,2.83389
median,256,12.2274,16384.0,3,256,0,sfq,0.0,balanced,64,0.0
median,256,12.1391,9984.0,3,256,25,sfq,6400.0,balanced,64,0.527223
median,256,1.92536,0.0,3,256,50,sfq,16384.0,balanced,64,8.50956
median,256,1.84904,0.0,3,256,75,sfq,16384.0,balanced,64,8.8608
median,256,1.78208,0.0,3,256,100,sfq,16384.0,balanced,64,9.19375
median,256,14.4421,65536.0,3,1024,0,sfq,0.0,balanced,64,0.0
median,256,14.0648,46400.0,3,1024,25,sfq,19136.0,balanced,64,1.36056
median,256,3.71888,0.0,3,1024,50,sfq,65536.0,balanced,64,17.6225
median,256,3.69341,0.0,3,1024,75,sfq,65536.0,balanced,64,17.744
median,256,3.50237,0.0,3,1024,100,sfq,65536.0,balanced,64,18.7119
median,256,19.7549,16384.0,3,64,0,sfq,0.0,balanced,256,0.0
median,256,20.3892,3584.0,3,64,25,sfq,12800.0,balanced,256,0.627783
median,256,1.794,0.0,3,64,50,sfq,16384.0,balanced,256,9.13265
median,256,1.79037,0.0,3,64,75,sfq,16384.0,balanced,256,9.1512
median,256,1.91369,0.0,3,64,100,sfq,16384.0,balanced,256,8.56147
median,256,20.0192,65536.0,3,256,0,sfq,0.0,balanced,256,0.0
median,256,20.3586,39936.0,3,256,25,sfq,25600.0,balanced,256,1.25746
median,256,2.77401,0.0,3,256,50,sfq,65536.0,balanced,256,23.625
median,256,2.73781,0.0,3,256,75,sfq,65536.0,balanced,256,23.9374
median,256,2.77425,0.0,3,256,100,sfq,65536.0,balanced,256,23.6229
median,256,25.33,262144.0,3,1024,0,sfq,0.0,balanced,256,0.0
median,256,212.159,185600.0,3,1024,25,sfq,76544.0,balanced,256,0.360786
median,256,2759.28,62464.0,3,1024,50,sfq,199680.0,balanced,256,0.0723666
median,256,5271.38,0.0,3,1024,75,sfq,262144.0,balanced,256,0.0497297
